Title,URL,Description,Start,End,Timezone,Contact,Organizer,Eligibility,Host Institutions,Online,City,Country,Venue
Learn to Program: R,https://intersect.org.au/training/schedule,"""https://intersect.org.au/training/course/r101""",20220716T133000,20220717T123000,Australia/Sydney,training@intersect.org.au,Intersect Australia,host_institution;,UNSW;,true,,,
R for Social Scientists,https://intersect.org.au/training/schedule,"""https://intersect.org.au/training/course/r103""",2022-01-23 13:30,2022-01-24 12:30,Australia/Sydney,training@intersect.org.au,Intersect Australia,host_institution,UNSW,true,,Australia,
Data Manipulation in Python,https://intersect.org.au/training/schedule,https://intersect.org.au/training/course/python201,2022-02-02 13:30,2022-02-02 16:30,AEST,training@intersect.org.au,Intersect Australia,host_institution,UNSW,true,,AU,
Data Visualisation in Python,https://intersect.org.au/training/schedule,"https://intersect.org.au/training/course/python202",20220203T093000,20220203T123000,Australia/Sydney,training@intersect.org.au,Intersect Australia,host_institution;,UNSW;,true,,AU,
Data Manipulation in R,https://intersect.org.au/training/schedule,https://intersect.org.au/training/course/r201,2022-02-09 13:30,2022-02-09 16:30,Australia/Sydney,training@intersect.org.au,Intersect Australia,host_institution,UNSW,true,,Australia,
Data Visualisation in R,https://intersect.org.au/training/schedule,https://intersect.org.au/training/course/r202,2022-02-10 09:30,2022-02-10 12:30,Australia/Sydney,training@intersect.org.au,Intersect Australia,host_institution,UNSW,true,,Australia,
Getting started with NVivo for Windows,https://intersect.org.au/training/schedule,https://intersect.org.au/training/course/nvivo101,2022-02-16 13:30,2022-02-16 16:30,Australia/Sydney,training@intersect.org.au,Intersect Australia,host_institution,UNSW,true,,Australia,
Excel for Researchers,https://intersect.org.au/training/schedule,https://intersect.org.au/training/course/excel101,2022-02-23 13:30,2022-02-24 12:30,Australia/Sydney,training@intersect.org.au,Intersect Australia,host_institution,UNSW,true,,Australia,
Unix Shell and Command Line Basics,https://intersect.org.au/training/schedule,https://intersect.org.au/training/course/unix101,2022-02-29 09:30,2022-02-29 12:30,Australia/Sydney,training@intersect.org.au,Intersect Australia,host_institution,UNSW,true,,Australia,
Version Control with Git,https://intersect.org.au/training/schedule,"""https://intersect.org.au/training/course/git101""",20220230T093000,20220230T123000,Australia/Sydney,training@intersect.org.au,Intersect Australia,host_institution,UNSW,true,,Australia,
Data Capture and Surveys with REDCap,https://intersect.org.au/training/schedule,https://intersect.org.au/training/course/redcap101,2022-02-08 10:00,2022-02-08 13:00,Australia/Sydney,training@intersect.org.au,Intersect Australia,host_institution,ACU,true,,Australia,
Longitudinal Trials with REDCap,https://intersect.org.au/training/schedule,"""https://intersect.org.au/training/course/redcap201""",2022-02-09 10:00,2022-02-09 13:00,Australia/Sydney,training@intersect.org.au,Intersect Australia,host_institution,ACU,true,,Australia,
Data Capture and Surveys with REDCap,https://intersect.org.au/training/schedule,https://intersect.org.au/training/course/redcap101,2022-04-24 10:00,2022-04-24 13:00,Australia/Sydney,training@intersect.org.au,Intersect Australia,host_institution,ACU,true,,Australia,
Longitudinal Trials with REDCap,https://intersect.org.au/training/schedule,https://intersect.org.au/training/course/redcap201,2022-04-25 10:00,2022-04-25 13:00,Australia/Sydney,training@intersect.org.au,Intersect Australia,host_institution,ACU,true,,Australia,
Data Capture and Surveys with REDCap,https://intersect.org.au/training/schedule,https://intersect.org.au/training/course/redcap101,2022-07-16 10:00,2022-07-16 13:00,Australia/Sydney,training@intersect.org.au,Intersect Australia,host_institution,ACU,true,,Australia,
Longitudinal Trials with REDCap,https://intersect.org.au/training/schedule,https://intersect.org.au/training/course/redcap201,2022-07-17 10:00,2022-07-17 13:00,Australia/Sydney,training@intersect.org.au,Intersect Australia,host_institution,ACU,true,,Australia,
Data Capture and Surveys with REDCap,https://intersect.org.au/training/schedule,https://intersect.org.au/training/course/redcap101,2022-10-21 10:00,2022-10-21 13:00,Australia/Sydney,training@intersect.org.au,Intersect Australia,host_institution,ACU,true,,Australia,
Longitudinal Trials with REDCap,https://intersect.org.au/training/schedule,https://intersect.org.au/training/course/redcap201,2022-10-22 10:00,2022-10-22 13:00,Australia/Sydney,training@intersect.org.au,Intersect Australia,host_institution,ACU,true,,Australia,
Learn to Program: Python,https://intersect.org.au/training/schedule,https://intersect.org.au/training/course/python101,2022-04-03 09:30,2022-04-03 16:30,Australia/Sydney,training@intersect.org.au,Intersect Australia,host_institution,SCU,false,Lismore,Australia,SCU Lismore
Data Capture and Surveys with REDCap,https://intersect.org.au/training/schedule,https://intersect.org.au/training/course/redcap101,2022-01-23 13:30,2022-01-23 16:30,Australia/Sydney,training@intersect.org.au,Intersect Australia,host_institution,UC,true,,Australia,
Longitudinal Trials with REDCap,https://intersect.org.au/training/schedule,https://intersect.org.au/training/course/redcap201,2022-02-03 13:30,2022-02-03 16:30,Australia/Sydney,training@intersect.org.au,Intersect Australia,host_institution,UC,true,,Australia,
Excel for Researchers,https://intersect.org.au/training/schedule,https://intersect.org.au/training/course/excel101,2022-02-09 13:30,2022-02-10 12:30,Australia/Sydney,training@intersect.org.au,Intersect Australia,host_institution,UC,true,,Australia,
Learn to Program: R,https://intersect.org.au/training/schedule,https://intersect.org.au/training/course/r101,2022-02-21 13:30,2022-02-22 12:30,Australia/Sydney,training@intersect.org.au,Intersect Australia,host_institution,UC,true,,Australia,
